Sobenome,Nome,Endereço de email,Número USP,Estado,Iniciado em,Completo,Tempo utilizado,Avaliar/10,10
da Luz,Marina,marina.da@usp.br,5691917,Finalizada,01/01/2027 05:02,01/01/2027 23:10,18:08:00,"5,91"
da Rosa,Brenda,brenda.da@usp.br,7311660,Finalizada,01/01/2027 08:07,01/01/2027 08:52,0:45:00,"6,77"
Lopes,Alexandre,alexandre.lopes@usp.br,5375868,Finalizada,01/01/2027 10:59,01/01/2027 21:36,10:37:00,"4,93"
Benício Ramos,Sr.,sr..benício@usp.br,1369411,Finalizada,01/01/2027 23:36,01/01/2027 23:41,0:05:00,"3,79"
Leonardo Moura,Sr.,sr..leonardo@usp.br,8163759,Finalizada,01/01/2027 02:28,01/01/2027 13:08,10:40:00,"9,78"
Sophia Alves,Ana,ana.sophia@usp.br,2225804,Finalizada,01/01/2027 10:16,01/01/2027 20:31,10:15:00,"7,34"
Maria Eduarda da Conceição,Dra.,dra..maria@usp.br,8805373,Finalizada,01/01/2027 05:45,01/01/2027 09:07,3:22:00,"4,21"
Freitas,Leonardo,leonardo.freitas@usp.br,10840866,Finalizada,01/01/2027 19:37,01/01/2027 20:48,1:11:00,"9,34"
Peixoto,Juliana,juliana.peixoto@usp.br,9217258,Finalizada,01/01/2027 11:53,01/01/2027 13:05,1:12:00,"8,96"
Diego Silveira,Dr.,dr..diego@usp.br,10399579,Finalizada,01/01/2027 09:27,01/01/2027 17:45,8:18:00,"0,25"
Moura,Valentina,valentina.moura@usp.br,6568547,Finalizada,01/01/2027 01:43,01/01/2027 10:24,8:41:00,"7,32"
Clara Ribeiro,Maria,maria.clara@usp.br,6258173,Finalizada,01/01/2027 17:54,01/01/2027 21:45,3:51:00,"4,37"
Cecília Lima,Maria,maria.cecília@usp.br,4106268,Finalizada,01/01/2027 21:48,01/01/2027 21:57,0:09:00,"6,49"
Viana,Bernardo,bernardo.viana@usp.br,2513841,Finalizada,01/01/2027 22:15,01/01/2027 23:30,1:15:00,"0,45"
Cardoso,Beatriz,beatriz.cardoso@usp.br,10253557,Finalizada,01/01/2027 23:25,01/01/2027 23:52,0:27:00,"2,59"
