Sobenome,Nome,Endereço de email,Número USP,Estado,Iniciado em,Completo,Tempo utilizado,Avaliar/10,10
Azevedo,Erick,erick.azevedo@usp.br,7642408,Finalizada,01/01/2027 18:23,01/01/2027 23:35,5:12:00,"9,82"
da Costa,Emanuel,emanuel.da@usp.br,1730767,Finalizada,01/01/2027 06:56,01/01/2027 14:18,7:22:00,"3,81"
Lavínia Pires,Srta.,srta..lavínia@usp.br,6636328,Finalizada,01/01/2027 06:33,01/01/2027 07:04,0:31:00,"9,35"
Carolina Teixeira,Sra.,sra..carolina@usp.br,7352413,Finalizada,01/01/2027 22:09,01/01/2027 23:47,1:38:00,"4,07"
Azevedo,Isabelly,isabelly.azevedo@usp.br,11725482,Finalizada,01/01/2027 09:16,01/01/2027 14:21,5:05:00,"6,67"
Viana,Eduardo,eduardo.viana@usp.br,10696101,Finalizada,01/01/2027 14:39,01/01/2027 18:28,3:49:00,"9,99"
da Conceição,Rafael,rafael.da@usp.br,10622602,Finalizada,01/01/2027 22:41,01/01/2027 22:45,0:04:00,"8,10"
da Paz,Kaique,kaique.da@usp.br,10897934,Finalizada,01/01/2027 19:47,01/01/2027 21:13,1:26:00,"8,25"
Moura,Theo,theo.moura@usp.br,11827285,Finalizada,01/01/2027 04:59,01/01/2027 07:05,2:06:00,"4,54"
Moura,Arthur,arthur.moura@usp.br,2717022,Finalizada,01/01/2027 11:21,01/01/2027 18:16,6:55:00,"4,61"
