Sobenome,Nome,Endereço de email,Número USP,Estado,Iniciado em,Completo,Tempo utilizado,Avaliar/10,10
Rodrigues,Antônio,antônio.rodrigues@usp.br,3527204,Finalizada,01/01/2027 02:12,01/01/2027 14:53,12:41:00,"6,24"
Castro,Isaac,isaac.castro@usp.br,9672201,Finalizada,01/01/2027 11:06,01/01/2027 22:24,11:18:00,"0,69"
Luiz Teixeira,Davi,davi.luiz@usp.br,1186311,Finalizada,01/01/2027 09:38,01/01/2027 18:28,8:50:00,"7,88"
Otávio Nogueira,Luiz,luiz.otávio@usp.br,1312754,Finalizada,01/01/2027 03:39,01/01/2027 20:39,17:00:00,"1,01"
Correia,Luna,luna.correia@usp.br,4398586,Finalizada,01/01/2027 12:39,01/01/2027 16:08,3:29:00,"6,52"
Almeida,Larissa,larissa.almeida@usp.br,3691843,Finalizada,01/01/2027 05:10,01/01/2027 19:31,14:21:00,"6,83"
Fernando da Mota,Luiz,luiz.fernando@usp.br,4324865,Finalizada,01/01/2027 16:41,01/01/2027 20:43,4:02:00,"5,02"
da Cruz,Lucas,lucas.da@usp.br,1597682,Finalizada,01/01/2027 06:58,01/01/2027 07:54,0:56:00,"9,06"
Sophia Oliveira,Dra.,dra..sophia@usp.br,7986531,Finalizada,01/01/2027 08:21,01/01/2027 17:35,9:14:00,"7,32"
Campos,Isis,isis.campos@usp.br,9503563,Finalizada,01/01/2027 23:10,01/01/2027 23:55,0:45:00,"3,98"
