Sobenome,Nome,Endereço de email,Número USP,Estado,Iniciado em,Completo,Tempo utilizado,Avaliar/10,10
da Luz,Marina,marina.da@usp.br,5691917,Finalizada,01/01/2027 19:20,01/01/2027 23:28,4:08:00,"0,41"
da Rosa,Brenda,brenda.da@usp.br,7311660,Finalizada,01/01/2027 05:42,01/01/2027 05:54,0:12:00,"9,57"
Lopes,Alexandre,alexandre.lopes@usp.br,5375868,Finalizada,01/01/2027 23:18,01/01/2027 23:32,0:14:00,"4,13"
Benício Ramos,Sr.,sr..benício@usp.br,1369411,Finalizada,01/01/2027 08:05,01/01/2027 23:09,15:04:00,"6,21"
Leonardo Moura,Sr.,sr..leonardo@usp.br,8163759,Finalizada,01/01/2027 04:46,01/01/2027 08:01,3:15:00,"4,44"
Sophia Alves,Ana,ana.sophia@usp.br,2225804,Finalizada,01/01/2027 07:28,01/01/2027 12:00,4:32:00,"9,85"
Maria Eduarda da Conceição,Dra.,dra..maria@usp.br,8805373,Finalizada,01/01/2027 05:17,01/01/2027 14:34,9:17:00,"0,52"
Freitas,Leonardo,leonardo.freitas@usp.br,10840866,Finalizada,01/01/2027 14:27,01/01/2027 17:01,2:34:00,"1,36"
Peixoto,Juliana,juliana.peixoto@usp.br,9217258,Finalizada,01/01/2027 20:41,01/01/2027 21:46,1:05:00,"5,39"
Diego Silveira,Dr.,dr..diego@usp.br,10399579,Finalizada,01/01/2027 20:53,01/01/2027 23:42,2:49:00,"1,74"
Moura,Valentina,valentina.moura@usp.br,6568547,Finalizada,01/01/2027 08:07,01/01/2027 20:21,12:14:00,"0,88"
Clara Ribeiro,Maria,maria.clara@usp.br,6258173,Finalizada,01/01/2027 00:19,01/01/2027 14:01,13:42:00,"1,33"
Cecília Lima,Maria,maria.cecília@usp.br,4106268,Finalizada,01/01/2027 20:08,01/01/2027 21:15,1:07:00,"8,11"
Viana,Bernardo,bernardo.viana@usp.br,2513841,Finalizada,01/01/2027 10:40,01/01/2027 18:26,7:46:00,"3,69"
Cardoso,Beatriz,beatriz.cardoso@usp.br,10253557,Finalizada,01/01/2027 18:05,01/01/2027 21:31,3:26:00,"4,18"
