Sobenome,Nome,Endereço de email,Número USP,Estado,Iniciado em,Completo,Tempo utilizado,Avaliar/10,10
Nunes,Sabrina,sabrina.nunes@usp.br,3976821,Finalizada,01/01/2027 23:30,01/01/2027 23:56,0:26:00,"4,20"
Fernandes,Letícia,letícia.fernandes@usp.br,10411544,Finalizada,01/01/2027 09:02,01/01/2027 14:35,5:33:00,"4,85"
Campos,Augusto,augusto.campos@usp.br,9474212,Finalizada,01/01/2027 15:55,01/01/2027 16:58,1:03:00,"9,06"
Otávio Nogueira,Luiz,luiz.otávio@usp.br,9270480,Finalizada,01/01/2027 15:32,01/01/2027 23:29,7:57:00,"4,32"
Moraes,Nicolas,nicolas.moraes@usp.br,2197151,Finalizada,01/01/2027 01:14,01/01/2027 22:23,21:09:00,"1,94"
Costa,Kamilly,kamilly.costa@usp.br,2223339,Finalizada,01/01/2027 02:53,01/01/2027 05:04,2:11:00,"1,70"
Araújo,Melissa,melissa.araújo@usp.br,11203022,Finalizada,01/01/2027 05:45,01/01/2027 21:40,15:55:00,"1,67"
Melo,Gustavo,gustavo.melo@usp.br,7539863,Finalizada,01/01/2027 07:50,01/01/2027 20:55,13:05:00,"1,62"
Santos,Catarina,catarina.santos@usp.br,9741252,Finalizada,01/01/2027 12:38,01/01/2027 14:32,1:54:00,"4,71"
Carolina Viana,Ana,ana.carolina@usp.br,1352723,Finalizada,01/01/2027 00:19,01/01/2027 12:00,11:41:00,"6,46"
